prompt_id,objetivo,nivel,dias_por_semana,rango_peso,peso_kg,altura_cm,edad,sexo,lesiones,equipamiento,objetivo_nutricional,entregables
RAG-VOL-INI-3D-LIVIANO,Volumen,Inicial,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-3D-MEDIO,Volumen,Inicial,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-3D-ALTO,Volumen,Inicial,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-4D-LIVIANO,Volumen,Inicial,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-4D-MEDIO,Volumen,Inicial,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-4D-ALTO,Volumen,Inicial,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-5D-LIVIANO,Volumen,Inicial,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-5D-MEDIO,Volumen,Inicial,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-5D-ALTO,Volumen,Inicial,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-6D-LIVIANO,Volumen,Inicial,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-6D-MEDIO,Volumen,Inicial,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INI-6D-ALTO,Volumen,Inicial,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-3D-LIVIANO,Volumen,Intermedio,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-3D-MEDIO,Volumen,Intermedio,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-3D-ALTO,Volumen,Intermedio,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-4D-LIVIANO,Volumen,Intermedio,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-4D-MEDIO,Volumen,Intermedio,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-4D-ALTO,Volumen,Intermedio,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-5D-LIVIANO,Volumen,Intermedio,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-5D-MEDIO,Volumen,Intermedio,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-VOL-INT-5D-ALTO,Volumen,Intermedio,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",superavit_controlado,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
